"dplyr","1.0.4"
"ellipsis","0.3.1"
"geojson","0.3.4"
"geojsonio","0.9.4"
"ggfittext","0.6.0"
"nanotime","0.1.2"
"readr","1.4.0"
"shinyWidgets","0.5.4"
"treemapify","2.5.2"
"vctrs","0.3.8"
"coriverse","ruralinnovation/coriverse"
"geojsonsf","SymbolixAU/geojsonsf"
"htmltools","rstudio/htmltools"
"protolite","jeroen/protolite"
"rmapshaper","ateucher/rmapshaper"
"shiny","rstudio/shiny"
"colourpicker","daattali/colourpicker"
"shinylogs","dreamRs/shinylogs"
"shinymaptool","ruralinnovation/shinymaptool"
"DT","rstudio/DT"
"stringr","tidyverse/stringr"
"tidyverse","tidyverse/tidyverse"
"shinydashboard","rstudio/shinydashboard"
"shinythemes","rstudio/shinythemes"
"shinycssloaders","daattali/shinycssloaders"
"shinyjs","daattali/shinyjs"
"shinyBS","ebailey78/shinyBS"
"kableExtra","haozhu233/kableExtra"
"sf","r-spatial/sf"
"leaflet","rstudio/leaflet"
"plotly","ropensci/plotly"
"scales","r-lib/scales"
"rmarkdown","rstudio/rmarkdown"
"knitr","yihui/knitr"
"hrbrthemes","hrbrmstr/hrbrthemes"
"R.utils","HenrikBengtsson/R.utils"
"yaml","viking/r-yaml"
